Rank,Mark,Competitor,Date_of_Birth,Nationality,Venue,Date,Results_Score,Year
1,209.063,Jakob INGEBRIGTSEN,2000-09-19,NOR,"Arena Stade Couvert, Liévin (FRA) (i)",13 FEB 2025,1306,2025
2,211.074,Yared NUGUSE,1999-06-01,USA,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1275,2025
3,211.089,Hobbs KESSLER,2003-03-15,USA,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1273,2025
4,212.024,Azeddine HABZ,1993-07-19,FRA,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1268,2025
5,212.059,Isaac NADER,1999-08-17,POR,"Arena Stade Couvert, Liévin (FRA) (i)",13 FEB 2025,1262,2025
6,212.067,Cameron MYERS,2006-06-09,AUS,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1261,2025
7,213.002,Liam MURPHY,2002-02-04,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",27 MAR 2025,1202,2025
8,213.014,Robert FARKEN,1997-09-20,GER,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1254,2025
9,213.018,Neil GOURLEY,1995-02-07,GBR,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1254,2025
10,213.038,Marco LANGON,2004-08-31,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",27 MAR 2025,1197,2025
11,213.04,Andrew COSCORAN,1996-06-18,IRL,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1251,2025
12,213.041,Ethan STRAND,2002-10-20,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2025,1251,2025
12,213.041,Gary MARTIN,2003-12-23,USA,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1251,2025
14,213.055,Anass ESSAYI,2001-05-18,MAR,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",08 FEB 2025,1249,2025
15,213.066,Josh HOEY,1999-11-01,USA,"The Track at New Balance, Boston, MA (USA) (i)",02 FEB 2025,1247,2025
16,213.099,Grant FISHER,1997-04-22,USA,"The Track at New Balance, Boston, MA (USA) (i)",02 FEB 2025,1242,2025
17,214.0,Adam FOGG,1999-01-27,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2025,1242,2025
18,214.049,Ruben VERHEYDEN,2000-12-22,BEL,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",08 FEB 2025,1235,2025
19,214.052,Oliver HOARE,1997-01-29,AUS,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 MAR 2025,1235,2025
20,215.012,Thomas KEEN,2001-06-16,GBR,"The Track at New Balance, Boston, MA (USA) (i)",02 FEB 2025,1226,2025
21,215.026,Tshepiso MASALELA,1999-05-25,BOT,"UJ Stadium, Johannesburg (RSA)",19 MAR 2025,1171,2025
22,215.043,Elliot GILES,1994-05-26,GBR,"Arena, Toruń (POL) (i)",16 FEB 2025,1221,2025
23,215.052,Adam SPENCER,2001-10-04,AUS,"Lakeside Stadium, Melbourne (AUS)",29 MAR 2025,1167,2025
24,215.055,Fouad MESSAOUDI,2001-01-07,MAR,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",29 MAR 2025,1167,2025
25,215.061,Samuel CHAPPLE,1998-11-23,NED,"Omnisport, Apeldoorn (NED) (i)",25 JAN 2025,1219,2025
26,215.062,Samuel PIHLSTRÖM,2001-03-08,SWE,"Europahalle, Karlsruhe (GER) (i)",07 FEB 2025,1219,2025
27,215.07,Biniam MEHARY,2006-12-20,ETH,"Arena, Toruń (POL) (i)",16 FEB 2025,1218,2025
28,215.07999999999998,Kieran LUMB,1998-08-02,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 FEB 2025,1216,2025
29,215.085,Luke HOUSER,2001-05-02,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 MAR 2025,1215,2025
30,215.087,Mariano GARCÍA,1997-09-25,ESP,"Pista Coberta de Catalunya, Sabadell (ESP) (i)",10 JAN 2025,1215,2025
31,215.096,Samuel TANNER,2000-08-24,NZL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 FEB 2025,1214,2025
32,216.008,Jochem VERMEULEN,1998-08-02,BEL,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1212,2025
33,216.011,Graham BLANKS,2002-04-24,USA,"The Track at New Balance, Boston, MA (USA) (i)",02 FEB 2025,1212,2025
34,216.015,Colin SAHLMAN,2003-10-28,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2025,1211,2025
35,216.019,Jack ANSTEY,1997-04-08,AUS,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 MAR 2025,1211,2025
36,216.023,Joe WASKOM,2001-04-12,USA,"The Track at New Balance, Boston, MA (USA) (i)",02 FEB 2025,1210,2025
37,216.024,Mohamed ATTAOUI,2001-09-26,ESP,"Arena, Toruń (POL) (i)",16 FEB 2025,1210,2025
38,216.025,Louis GILAVERT,1998-01-01,FRA,"Stadium Miramas Métropole, Miramas (FRA) (i)",31 JAN 2025,1210,2025
39,216.028,Mahadi ABDI ALI,1995-11-08,NED,"Omnisport, Apeldoorn (NED) (i)",25 JAN 2025,1209,2025
40,216.034,Raphael PALLITSCH,1989-12-18,AUT,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",08 FEB 2025,1208,2025
41,216.037,Flavien SZOT,2001-09-06,FRA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2025,1208,2025
42,216.046,Filip RAK,2003-02-03,POL,"Arena, Toruń (POL) (i)",16 FEB 2025,1207,2025
43,216.048,Jude THOMAS,2002-03-17,AUS,"Lakeside Stadium, Melbourne (AUS)",29 MAR 2025,1154,2025
44,216.071,Pieter SISK,1999-12-08,BEL,"Coque Sport Center, Luxembourg (LUX) (i)",19 JAN 2025,1203,2025
45,216.072,Paul ANSELMINI,2003-08-02,FRA,"Halle Stéphane Diagana, Lyon (FRA) (i)",15 FEB 2025,1203,2025
46,216.075,Adel MECHAAL,1990-12-05,ESP,"Pista Coberta de Catalunya, Sabadell (ESP) (i)",10 JAN 2025,1203,2025
47,216.078,Federico RIVA,2000-11-09,ITA,"Europahalle, Karlsruhe (GER) (i)",07 FEB 2025,1202,2025
47,216.078,Samuel PRAKEL,1994-10-29,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 MAR 2025,1202,2025
47,216.078,Damian HACKETT,,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",27 MAR 2025,1150,2025
50,216.079,Cooper CAWTHRA,,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",27 MAR 2025,1150,2025
51,216.082,Jackson SHARP,2000-08-21,AUS,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",29 MAR 2025,1150,2025
52,216.095,Adrián BEN,1998-08-04,ESP,"Sports Training Center, Nanjing (CHN) (i)",21 MAR 2025,1200,2025
53,217.003,Romain MORNET,1997-11-08,FRA,"Europahalle, Karlsruhe (GER) (i)",07 FEB 2025,1199,2025
54,217.008,Stefan NILLESSEN,2003-01-02,NED,"Omnisport, Apeldoorn (NED) (i)",23 FEB 2025,1198,2025
55,217.013,Pierre ATTIOGBE,,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",27 MAR 2025,1145,2025
56,217.016,Vincent Kibet KETER,2002-03-11,KEN,"Halle Stéphane Diagana, Lyon (FRA) (i)",15 FEB 2025,1197,2025
57,217.023,Steven JACKSON,,USA,"The Track at New Balance, Boston, MA (USA) (i)",14 FEB 2025,1196,2025
58,217.028,Joshua THOMPSON,1993-05-09,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",29 MAR 2025,1143,2025
59,217.029,Harrison WITT,,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2025,1195,2025
59,217.029,Peter BOL,1994-02-22,AUS,"Lakeside Stadium, Melbourne (AUS)",29 MAR 2025,1143,2025
61,217.03199999999998,Amon KEMBOI,1995-12-10,KEN,"The Track at New Balance, Boston, MA (USA) (i)",14 FEB 2025,1195,2025
61,217.03199999999998,Festus LAGAT,1996-10-10,KEN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 MAR 2025,1195,2025
63,217.037,Robin VAN RIEL,2000-04-30,NED,"Omnisport, Apeldoorn (NED) (i)",23 FEB 2025,1194,2025
64,217.039,Cathal DOYLE,1997-11-12,IRL,"Arena Stade Couvert, Liévin (FRA) (i)",13 FEB 2025,1194,2025
65,217.043,Getnet WALE,2000-07-16,ETH,"Halle Stéphane Diagana, Lyon (FRA) (i)",15 FEB 2025,1193,2025
66,217.049,AJ ERNST,1998-08-28,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 FEB 2025,1192,2025
67,217.05,Vincent CIATTEI,1995-01-21,USA,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1192,2025
68,217.052,Tyler BILYARD,2001-10-08,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2025,1192,2025
68,217.052,Owen KARAS,,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",27 MAR 2025,1140,2025
70,217.055,Filip SASÍNEK,1996-01-08,CZE,"Arena, Toruń (POL) (i)",16 FEB 2025,1191,2025
71,217.05700000000002,Maciej WYDERKA,2002-07-29,POL,"Arena, Toruń (POL) (i)",16 FEB 2025,1191,2025
72,217.061,Derek JOHNSON,1999-10-11,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2025,1190,2025
73,217.064,Pierrik JOCTEUR-MONROZIER,1998-03-23,FRA,"Halle Stéphane Diagana, Lyon (FRA) (i)",15 FEB 2025,1190,2025
74,217.067,Noah BALTUS,2002-02-03,NED,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",08 FEB 2025,1190,2025
75,217.06799999999998,Nuno PEREIRA,2000-11-27,POR,"Expocentro, Pombal (POR) (i)",22 FEB 2025,1189,2025
76,217.07,Abel TEFFRA,2002-01-23,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",08 FEB 2025,1189,2025
77,217.071,Charles PHILIBERT-THIBOUTOT,1990-12-31,CAN,"Arena Stade Couvert, Liévin (FRA) (i)",13 FEB 2025,1189,2025
78,217.072,Joseph WIGFIELD,2000-01-18,GBR,"Emirates Arena, Glasgow (GBR) (i)",02 FEB 2025,1189,2025
79,217.074,Benjamin ALLEN,1998-04-17,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 MAR 2025,1189,2025
80,217.075,Mick STANOVSEK,1997-01-16,AUS,"The Track at New Balance, Boston, MA (USA) (i)",14 FEB 2025,1188,2025
81,217.077,Melese NBERET,2001-01-29,ETH,"Halle Stéphane Diagana, Lyon (FRA) (i)",15 FEB 2025,1188,2025
82,217.084,Miguel MOREIRA,2000-11-24,POR,"Expocentro, Pombal (POR) (i)",22 FEB 2025,1187,2025
83,217.089,Marius PROBST,1995-08-20,GER,"Europahalle, Karlsruhe (GER) (i)",07 FEB 2025,1186,2025
84,217.09,Charles GRETHEN,1992-06-02,LUX,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",08 FEB 2025,1186,2025
84,217.09,Ignacio FONTES,1998-06-22,ESP,"Halle Stéphane Diagana, Lyon (FRA) (i)",15 FEB 2025,1186,2025
86,217.097,Abraham ALVARADO,1995-08-04,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 MAR 2025,1185,2025
87,218.006,Tomas PALFREY,2003-02-08,AUS,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2025,1184,2025
88,218.007,Tshepo TSHITE,1997-01-15,RSA,"Arena Stade Couvert, Liévin (FRA) (i)",13 FEB 2025,1184,2025
89,218.008,Anicet KOZAR,2001-10-08,FRA,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",08 FEB 2025,1184,2025
90,218.015,Justin KIPKOECH,1998-09-18,KEN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2025,1183,2025
91,218.016,Benoit CAMPION,1998-02-12,FRA,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",08 FEB 2025,1183,2025
91,218.016,Foster MALLECK,2001-08-12,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 FEB 2025,1183,2025
91,218.016,Aidan RYAN,,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 MAR 2025,1183,2025
94,218.037,José Carlos PINTO,1997-05-03,POR,"Expocentro, Pombal (POR) (i)",22 FEB 2025,1180,2025
95,218.047,Kristian Uldbjerg HANSEN,1996-08-15,DEN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",08 FEB 2025,1178,2025
95,218.047,Jack CRULL,2002-02-13,USA,"The Track at New Balance, Boston, MA (USA) (i)",14 FEB 2025,1178,2025
97,218.049,Jack SALISBURY,1998-01-05,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 MAR 2025,1178,2025
98,218.053,Taha ER RAOUY,2002-05-25,MAR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2025,1177,2025
98,218.053,Alexandre SELLES,2000-06-19,FRA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",08 FEB 2025,1177,2025
100,218.054,Mathew Kipchumba KIPSANG,1995-11-16,KEN,"Atletska dvorana, Beograd (SRB) (i)",29 JAN 2025,1177,2025
1,206.073,Jakob INGEBRIGTSEN,2000-09-19,NOR,"Stade Louis II, Monaco (MON)",12 JUL 2024,1292,2024
2,207.065,Cole HOCKER,2001-06-06,USA,"Stade de France, Paris (FRA)",06 AUG 2024,1278,2024
3,207.079,Josh KERR,1997-10-08,GBR,"Stade de France, Paris (FRA)",06 AUG 2024,1276,2024
4,207.07999999999998,Yared NUGUSE,1999-06-01,USA,"Stade de France, Paris (FRA)",06 AUG 2024,1276,2024
5,208.071,Timothy CHERUIYOT,1995-11-20,KEN,"Stade Louis II, Monaco (MON)",12 JUL 2024,1263,2024
6,208.07999999999998,Brian KOMEN,1998-08-10,KEN,"Stade Louis II, Monaco (MON)",12 JUL 2024,1262,2024
7,209.04500000000002,Hobbs KESSLER,2003-03-15,USA,"Stade de France, Paris (FRA)",06 AUG 2024,1253,2024
8,209.054,Niels LAROS,2005-04-17,NED,"Stade de France, Paris (FRA)",06 AUG 2024,1251,2024
9,210.046,Narve Gilje NORDÅS,1998-09-30,NOR,"Stade de France, Paris (FRA)",06 AUG 2024,1238,2024
10,210.065,Neil GOURLEY,1995-02-07,GBR,"Stade Louis II, Monaco (MON)",12 JUL 2024,1235,2024
11,210.074,Pietro ARESE,1999-10-08,ITA,"Stade de France, Paris (FRA)",06 AUG 2024,1234,2024
12,210.075,Stefan NILLESSEN,2003-01-02,NED,"Stade de France, Paris (FRA)",06 AUG 2024,1234,2024
13,210.07999999999998,Azeddine HABZ,1993-07-19,FRA,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1233,2024
14,210.084,Isaac NADER,1999-08-17,POR,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1233,2024
15,210.088,Reynold CHERUIYOT,2004-07-30,KEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1232,2024
16,211.006,Elliot GILES,1994-05-26,GBR,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1230,2024
17,211.007,Oliver HOARE,1997-01-29,AUS,"Stade Louis II, Monaco (MON)",12 JUL 2024,1230,2024
18,211.057,George MILLS,1999-05-12,GBR,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1222,2024
19,211.074,Jochem VERMEULEN,1998-08-02,BEL,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1220,2024
20,211.078,Vincent CIATTEI,1995-01-21,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1220,2024
21,212.016,Cooper TEARE,1999-08-18,USA,"UVA Lanningan Field, Charlottesville, VA (USA)",28 APR 2024,1214,2024
22,212.02,Robert FARKEN,1997-09-20,GER,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1214,2024
22,212.02,Nathan GREEN,2003-04-10,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1214,2024
24,212.037,Abdisa FAYISA,2005-04-24,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1211,2024
25,212.049,Anass ESSAYI,2001-05-18,MAR,"Stade de France, Paris (FRA)",04 AUG 2024,1210,2024
26,212.05599999999998,Jake WIGHTMAN,1994-07-11,GBR,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1209,2024
27,212.067,Maël GOUYETTE,1999-05-21,FRA,"Parc des Sports C. Ehrmann, Nice (FRA)",15 JUN 2024,1207,2024
28,212.06799999999998,Andrew COSCORAN,1996-06-18,IRL,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1207,2024
29,212.077,Ossama MESLEK,1997-01-08,ITA,"Stade de France, Paris (FRA)",04 AUG 2024,1206,2024
30,212.08100000000002,Samuel TEFERA,1999-10-23,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1205,2024
31,212.084,Federico RIVA,2000-11-09,ITA,"Stade de France, Paris (FRA)",03 AUG 2024,1205,2024
32,212.09300000000002,Justin KIPKOECH,1998-09-18,KEN,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1203,2024
33,212.094,Henry WYNNE,1995-04-18,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1203,2024
34,213.015,Cathal DOYLE,1997-11-12,IRL,"Stade de France, Paris (FRA)",04 AUG 2024,1200,2024
35,213.02100000000002,Adel MECHAAL,1990-12-05,ESP,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1199,2024
36,213.025,Festus LAGAT,1996-10-10,KEN,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1199,2024
37,213.029,Charles PHILIBERT-THIBOUTOT,1990-12-31,CAN,"Stade de France, Paris (FRA)",04 AUG 2024,1198,2024
38,213.03,Cameron MYERS,2006-06-09,AUS,"The Crest Athletics Centre, Bankstown, Sydney (AUS)",22 FEB 2024,1198,2024
39,213.04,Ruben VERHEYDEN,2000-12-22,BEL,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1197,2024
40,213.049,Amon KEMBOI,1995-12-10,KEN,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1196,2024
41,213.052,Ryan MPHAHLELE,1998-06-20,RSA,"University of the Western Cape, Cape Town (RSA)",29 APR 2024,1195,2024
42,213.054,Lamecha GIRMA,2000-11-26,ETH,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1195,2024
43,213.058,Johnathan RENIEWICKI,1995-10-03,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1194,2024
43,213.058,Samuel PIHLSTRÖM,2001-03-08,SWE,"Stade de France, Paris (FRA)",03 AUG 2024,1194,2024
45,213.059,Raphael PALLITSCH,1989-12-18,AUT,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1194,2024
46,213.064,Jesse HUNT,1998-07-28,AUS,"The Crest Athletics Centre, Bankstown, Sydney (AUS)",22 FEB 2024,1193,2024
47,213.066,Luke MCCANN,1998-03-12,IRL,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1193,2024
48,213.067,Sean MCGORTY,1995-03-08,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",12 JUL 2024,1193,2024
49,213.071,Daniel MUNGUTI,1995-02-28,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1192,2024
50,213.074,Filip RAK,2003-02-03,POL,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1192,2024
50,213.074,Joe WASKOM,2001-04-12,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1192,2024
52,213.076,Tshepo TSHITE,1997-01-15,RSA,"University of the Western Cape, Cape Town (RSA)",29 APR 2024,1192,2024
53,213.078,Andrew HUNTER,1997-09-05,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1192,2024
54,213.082,Waleed SULIMAN,1998-09-22,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",12 JUL 2024,1191,2024
55,213.084,Teddese LEMI,1999-01-20,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1191,2024
55,213.084,Elliott COOK,2002-02-22,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1191,2024
57,213.096,Colin SAHLMAN,2003-10-28,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",13 APR 2024,1189,2024
58,213.098,Romain MORNET,1997-11-08,FRA,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1189,2024
59,214.005,Eric HOLT,1995-05-12,USA,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1188,2024
60,214.012,Vincent Kibet KETER,2002-03-11,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1187,2024
61,214.02100000000002,Craig ENGELS,1994-05-01,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1186,2024
62,214.022,Jesús GÓMEZ,1991-04-24,ESP,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1185,2024
63,214.028,Mario GARCÍA,1999-06-29,ESP,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1185,2024
64,214.031,Benoit CAMPION,1998-02-12,FRA,"Parc des Sports C. Ehrmann, Nice (FRA)",15 JUN 2024,1184,2024
65,214.037,Adam FOGG,1999-01-27,GBR,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1237,2024
66,214.039,Dominic Lokinyomo LOBALU,1998-08-16,SUI,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1183,2024
67,214.041,Kieran LUMB,1998-08-02,CAN,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1183,2024
68,214.042,Jye EDWARDS,1998-03-06,AUS,"The Crest Athletics Centre, Bankstown, Sydney (AUS)",22 FEB 2024,1183,2024
69,214.04500000000002,Adam SPENCER,2001-10-04,AUS,"Stade de France, Paris (FRA)",03 AUG 2024,1182,2024
70,214.047,Geordie BEAMISH,1996-10-24,NZL,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1182,2024
71,214.052,Hafid RIZQY,1997-10-26,MAR,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1181,2024
72,214.053,Flavien SZOT,2001-09-06,FRA,"Stade de Stehelin, Bordeaux (FRA)",19 JUN 2024,1181,2024
73,214.054,Marius PROBST,1995-08-20,GER,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1181,2024
74,214.05599999999998,Nico YOUNG,2002-07-27,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",04 MAY 2024,1181,2024
75,214.058,Jimmy GRESSIER,1997-05-04,FRA,"Stade Raymond Troussier, Decines (FRA)",04 MAY 2024,1180,2024
76,214.059,Javier MIRON,1999-12-13,ESP,"Polideportivo Zorrotza, Bilbao (ESP)",18 JUN 2024,1180,2024
77,214.066,Noah BALTUS,2002-02-03,NED,"Bungertstadion, Rehlingen (GER)",19 MAY 2024,1179,2024
78,214.073,Ermias GIRMA,2005-01-20,ETH,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1178,2024
79,214.07999999999998,Endashaw RETA,,ETH,"Polideportivo Zorrotza, Bilbao (ESP)",18 JUN 2024,1177,2024
79,214.07999999999998,Stewart MCSWEYN,1995-06-01,AUS,"Olympic Stadium, London (GBR)",20 JUL 2024,1177,2024
81,214.08100000000002,Ignacio FONTES,1998-06-22,ESP,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1177,2024
82,214.083,Biniam MEHARY,2006-12-20,ETH,"Arena, Toruń (POL) (i)",06 FEB 2024,1230,2024
82,214.083,Louis GILAVERT,1998-01-01,FRA,"Parc des Sports C. Ehrmann, Nice (FRA)",15 JUN 2024,1177,2024
84,214.09,Grant FISHER,1997-04-22,USA,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1176,2024
85,214.091,Samuel PRAKEL,1994-10-29,USA,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1176,2024
86,214.094,Baptiste MISCHLER,1997-11-23,FRA,"Parc des Sports C. Ehrmann, Nice (FRA)",15 JUN 2024,1175,2024
87,215.004,Nicholas GRIGGS,2004-12-18,IRL,"Tooting Bec Athletics Track, London (GBR)",24 JUL 2024,1174,2024
88,215.00900000000001,Maciej WYDERKA,2002-07-29,POL,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1173,2024
89,215.012,Pierrik JOCTEUR-MONROZIER,1998-03-23,FRA,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1173,2024
90,215.014,Callum DAVIES,1999-07-18,AUS,"The Crest Athletics Centre, Bankstown, Sydney (AUS)",22 FEB 2024,1173,2024
91,215.016,Matthew CENTROWITZ,1989-10-18,USA,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1172,2024
92,215.02,Joonas RINNE,1995-05-20,FIN,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1172,2024
93,215.022,Andreas ALMGREN,1995-06-12,SWE,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1172,2024
94,215.024,Luke HOUSER,2001-05-02,USA,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1171,2024
95,215.025,Bastien AUGUSTO,1999-08-10,FRA,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1171,2024
96,215.027,Eduardo HERRERA,1997-09-23,MEX,"Polideportivo Zorrotza, Bilbao (ESP)",18 JUN 2024,1171,2024
97,215.035,Mehmet ÇELİK,2001-12-01,TUR,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1170,2024
97,215.035,Davis BOVE,2000-10-17,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1170,2024
99,215.037,Jack ANSTEY,1997-04-08,AUS,"Parc des Sports C. Ehrmann, Nice (FRA)",15 JUN 2024,1169,2024
100,215.04,Sam GILMAN,2000-09-20,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",12 JUL 2024,1169,2024
1,207.014,Jakob INGEBRIGTSEN,2000-09-19,NOR,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1286,2023
2,208.089,Mohamed KATIR,1998-02-17,ESP,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1261,2023
3,209.002,Yared NUGUSE,1999-06-01,USA,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1259,2023
4,209.008,Timothy CHERUIYOT,1995-11-20,KEN,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1258,2023
5,209.011,Abel KIPSANG,1996-11-22,KEN,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1257,2023
6,209.018,Mario GARCÍA,1999-06-29,ESP,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1256,2023
7,209.026,Azeddine HABZ,1993-07-19,FRA,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1255,2023
8,209.038,Josh KERR,1997-10-08,GBR,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1254,2023
9,209.041,Oliver HOARE,1997-01-29,AUS,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1253,2023
10,209.047,Narve Gilje NORDÅS,1998-09-30,NOR,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1252,2023
